Date,Close,Open,High,Low,Volume,Change
2013-10-24,8413.72,8364.45,8413.72,8346.52,1660000.0,0.0024
2013-10-25,8346.62,8380.31,8390.25,8322.15,1960000.0,-0.008
2013-10-28,8407.83,8365.43,8414.81,8348.42,1710000.0,0.0073
2013-10-29,8420.98,8394.85,8432.9,8380.21,1820000.0,0.0016
2013-10-30,8465.06,8429.4,8465.06,8419.21,2049999.9999999998,0.0052
2013-10-31,8450.06,8437.76,8469.58,8424.47,2270000.0,-0.0018
2013-11-01,8388.18,8474.47,8476.63,8378.94,2150000.0,-0.0073
2013-11-04,8354.14,8371.83,8371.83,8333.63,2060000.0,-0.0040999999999999995
2013-11-05,8262.2,8354.92,8372.8,8262.2,2290000.0,-0.011000000000000001
2013-11-06,8281.97,8275.07,8297.57,8232.5,2240000.0,0.0024
2013-11-07,8283.71,8298.06,8298.06,8250.72,2160000.0,0.0002
2013-11-08,8229.59,8235.3,8266.72,8216.33,1860000.0,-0.006500000000000001
2013-11-11,8182.56,8228.9,8242.41,8168.92,1860000.0,-0.005699999999999999
2013-11-12,8195.26,8233.62,8233.62,8160.17,2130000.0,0.0016
2013-11-13,8104.26,8199.26,8199.26,8104.26,1780000.0,-0.0111
2013-11-14,8134.91,8137.82,8161.7,8100.73,2150000.0,0.0038
2013-11-15,8177.12,8168.9,8210.1,8160.28,1940000.0,0.0052
